aw_product_id,merchant_product_id,merchant_category,aw_deep_link,merchant_image_url,search_price,description,product_name,rrp_price,display_price,brand_name,size,suitable_for,colour,merchant_deep_link
3157301887,10973454,"Mens - Footwear - Boots",http://www.awin1.com/pclick.php?p=3157301887&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/51/10973451-1412960281-744677.jpg,110.00,"The burgundy Oliver Spencer Graffiti Leather Chukka Boots have a rich grain leather upper  a two-eyelet lace front and a pull tab on the heel. The mid-height  leather chukka boots are set upon a unique  rubber outsole which features a camouflage  graffiti pattern. - L.M.  Upper: Leather. Sole: Vibram Rubber.","Oliver Spencer Men's Graffiti Leather Chukka Boots - Burgundy",220.00,GBP110.00,"Oliver Spencer",9,Men,Red,http://www.allsole.com/mens-footwear-boots/oliver-spencer-men-s-graffiti-leather-chukka-boots-burgundy-9-9red/10973454.html
3089545693,10873752,"Shoes [Clothing/Women/Footwear]",http://www.awin1.com/pclick.php?p=3089545693&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/47/10873747-1395161631-983203.jpg,128.00,"Created with bold style  the BOSS Hugo Boss Women's Manela Leather Shoes have a white leather upper accentuated with subtle stitch detail. Set upon a unique 1.2 platform rubber sole  the shoes have a 4 eyelet lace up fasten and a high shine finish. K.D.    Women's Manela Leather Shoes by BOSS Hugo Boss   Leather  4 eyelets  Stitch detail  Thick platform sole  High shine finish    Heel Height: 1.2.","BOSS Hugo Boss Women's Manela Leather Shoes - White",320.00,GBP128.00,"BOSS Hugo Boss",7,Women,White,http://www.allsole.com/shoes-clothing/women/footwear/boss-hugo-boss-women-s-manela-leather-shoes-white-7-7white/10873752.html
3109942833,10928213,"Mens - Footwear - Shoes",http://www.awin1.com/pclick.php?p=3109942833&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/11/10928211-1402417139-438766.jpg,50.00,"Accentuated with stitch and punch out detail to the leather upper  the H by Hudson Men's Sheldon Leather Toe-Cap Shoes in brown boast sophisticated  masculine style. Crafted from a soft buffalo leather  they have a four eyelet lace up fastening and are finished with branding to the sole. K.D.  Upper and Lining: Leather. Sole: Manmade.","H by Hudson Men's Sheldon Leather Toe-Cap Shoes - Brown",100.00,GBP50.00,"H by Hudson",8,Men,Brown,http://www.allsole.com/mens-footwear-shoes/h-by-hudson-men-s-sheldon-leather-toe-cap-shoes-brown-8-8brown/10928213.html
3109942835,10928215,"Mens - Footwear - Shoes",http://www.awin1.com/pclick.php?p=3109942835&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/11/10928211-1402417139-438766.jpg,50.00,"Accentuated with stitch and punch out detail to the leather upper  the H by Hudson Men's Sheldon Leather Toe-Cap Shoes in brown boast sophisticated  masculine style. Crafted from a soft buffalo leather  they have a four eyelet lace up fastening and are finished with branding to the sole. K.D.  Upper and Lining: Leather. Sole: Manmade.","H by Hudson Men's Sheldon Leather Toe-Cap Shoes - Brown",100.00,GBP50.00,"H by Hudson",10,Men,Brown,http://www.allsole.com/mens-footwear-shoes/h-by-hudson-men-s-sheldon-leather-toe-cap-shoes-brown-10-10brown/10928215.html
3109942635,10928221,"Mens - Footwear - Shoes",http://www.awin1.com/pclick.php?p=3109942635&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/17/10928217-1402417139-438932.jpg,50.00,"Accentuated with stitch and punch out detail to the leather upper  the H by Hudson Men's Sheldon Leather Toe-Cap Shoes in black boast sophisticated  masculine style. Crafted from a soft buffalo leather  they have a four eyelet lace up fastening and are finished with branding to the sole. K.D.  Upper and Lining: Leather. Sole: Manmade.","H by Hudson Men's Sheldon Leather Toe-Cap Shoes - Black",100.00,GBP50.00,"H by Hudson",10,Men,Black,http://www.allsole.com/mens-footwear-shoes/h-by-hudson-men-s-sheldon-leather-toe-cap-shoes-black-10-10black/10928221.html
3109942859,10928214,"Mens - Footwear - Shoes",http://www.awin1.com/pclick.php?p=3109942859&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/11/10928211-1402417139-438766.jpg,50.00,"Accentuated with stitch and punch out detail to the leather upper  the H by Hudson Men's Sheldon Leather Toe-Cap Shoes in brown boast sophisticated  masculine style. Crafted from a soft buffalo leather  they have a four eyelet lace up fastening and are finished with branding to the sole. K.D.  Upper and Lining: Leather. Sole: Manmade.","H by Hudson Men's Sheldon Leather Toe-Cap Shoes - Brown",100.00,GBP50.00,"H by Hudson",9,Men,Brown,http://www.allsole.com/mens-footwear-shoes/h-by-hudson-men-s-sheldon-leather-toe-cap-shoes-brown-9-9brown/10928214.html
3109942727,10928220,"Mens - Footwear - Shoes",http://www.awin1.com/pclick.php?p=3109942727&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/17/10928217-1402417139-438932.jpg,50.00,"Accentuated with stitch and punch out detail to the leather upper  the H by Hudson Men's Sheldon Leather Toe-Cap Shoes in black boast sophisticated  masculine style. Crafted from a soft buffalo leather  they have a four eyelet lace up fastening and are finished with branding to the sole. K.D.  Upper and Lining: Leather. Sole: Manmade.","H by Hudson Men's Sheldon Leather Toe-Cap Shoes - Black",100.00,GBP50.00,"H by Hudson",9,Men,Black,http://www.allsole.com/mens-footwear-shoes/h-by-hudson-men-s-sheldon-leather-toe-cap-shoes-black-9-9black/10928220.html
3109942637,10928222,"Mens - Footwear - Shoes",http://www.awin1.com/pclick.php?p=3109942637&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/17/10928217-1402417139-438932.jpg,50.00,"Accentuated with stitch and punch out detail to the leather upper  the H by Hudson Men's Sheldon Leather Toe-Cap Shoes in black boast sophisticated  masculine style. Crafted from a soft buffalo leather  they have a four eyelet lace up fastening and are finished with branding to the sole. K.D.  Upper and Lining: Leather. Sole: Manmade.","H by Hudson Men's Sheldon Leather Toe-Cap Shoes - Black",100.00,GBP50.00,"H by Hudson",11,Men,Black,http://www.allsole.com/mens-footwear-shoes/h-by-hudson-men-s-sheldon-leather-toe-cap-shoes-black-11-11black/10928222.html
3053337213,10862892,"Mens - Footwear - Shoes",http://www.awin1.com/pclick.php?p=3053337213&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/90/10862890-1404834121-941924.jpg,69.00,"Boasting a soft leather upper  the men's brown Jake Leather Brogues by KG Kurt Geiger are a stylish investment for your shoe collection. Featuring traditional brogue stitch detail all over and a lace up fasten  these brogues also feature a synthetic sole with a subtle heel for added style and comfort. - E.D     KG Kurt Geiger Men's Jake Leather Brogues - Brown  Stylish investment   Traditional brogue stitch detail  Lace up fasten  Synthetic sole  Subtle heel  Soft leather upper","KG Kurt Geiger Men's Jake Leather Brogues - Brown",95.00,GBP69.00,"KG Kurt Geiger","UK 9/Eur 43",Men,Brown,http://www.allsole.com/mens-footwear-shoes/kg-kurt-geiger-men-s-jake-leather-brogues-brown-uk-9/eur-43-uk-9/eur-43-brown/10862892.html
3053337223,10862898,"Mens - Footwear - Shoes",http://www.awin1.com/pclick.php?p=3053337223&a=166012&m=3660,http://s4.thcdn.com/productimg/0/130/130/96/10862896-1404834121-941937.jpg,69.00,"Boasting a soft leather upper  the men's tan Jake Leather Brogues by KG Kurt Geiger are a stylish investment for your shoe collection. Featuring traditional brogue stitch detail all over and a lace up fasten  these brogues also feature a synthetic sole with a subtle heel for added style and comfort. - E.D     KG Kurt Geiger Men's Jake Leather Brogues - Tan  Stylish investment   Traditional brogue stitch detail  Lace up fasten  Synthetic sole  Subtle heel  Soft leather upper","KG Kurt Geiger Men's Jake Leather Brogues - Tan",95.00,GBP69.00,"KG Kurt Geiger","UK 9/Eur 43",Men,Tan,http://www.allsole.com/mens-footwear-shoes/kg-kurt-geiger-men-s-jake-leather-brogues-tan-uk-9/eur-43-uk-9/eur-43-tan/10862898.html
