deeplink,image_url,price,product_id,product_name,brand,Colour,gender,description
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Bulldog+Mid+Length+Shorts&wgtarget=http://www.julesb.co.uk/bulldog-mid-length-shorts-p683717,http://www.julesb.co.uk/images/bulldog-mid-length-shorts-p683717-1681999_medium.jpg,134.99,683717,"Bulldog Mid Length Shorts","Orlebar Brown","Olive > Bordeaux > Red > Blue > Black > White > Grey > Navy > Ocean > Yellow",Male,"Mid length shorts
Two waist buckles
Stud and zip fly
A zipped back pocket
Two front slit pockets
100% polyamide
Lining: 100% polyester
Machine wash

Men's Bulldog mid length shorts from luxury swimwear designer Orlebar Brown. Mid length shorts in a tailored fit with two side tabs to adjust fit and hip pockets. There is a zipped back pocket and a mesh lined interior. Wear these shorts on their own or cover up with a Boss Green polo shirt and a pair of espadrilles. The shorts also come with waterproof travel bag.
Size 36 measures 6.5inch inside leg"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Lobster+Swim+Shorts&wgtarget=http://www.julesb.co.uk/lobster-swim-shorts-p750224,http://www.julesb.co.uk/images/lobster-swim-shorts-p750224-1621548_medium.jpg,46.99,750224,"Lobster Swim Shorts","Hugo Boss Black","Blue > Black > Green > Navy > Orange > Pink",Male,"Lobster Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=St.+Tropez+Swim+Shorts&wgtarget=http://www.julesb.co.uk/mc2-saint-barth-st-tropez-swim-shorts-p768697,http://www.julesb.co.uk/images/mc2-saint-barth-st-tropez-swim-shorts-p768697-1658540_medium.jpg,54.00,768697,"St. Tropez Swim Shorts","MC2 Saint Barth","Multi Coloured",Male,"St. Tropez Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Gustavia+Nadria+Swim+Shorts&wgtarget=http://www.julesb.co.uk/mc2-saint-barth-nadria-swim-shorts-p768707,http://www.julesb.co.uk/images/mc2-saint-barth-nadria-swim-shorts-p768707-1645083_medium.jpg,42.75,768707,"Gustavia Nadria Swim Shorts","MC2 Saint Barth",Green,Male,"Gustavia Nadria Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Gustavia+Reflection+Swim+Shorts&wgtarget=http://www.julesb.co.uk/mc2-saint-barth-gustavia-reflection-swim-shorts-p768713,http://www.julesb.co.uk/images/mc2-saint-barth-gustavia-reflection-swim-shorts-p768713-1623453_medium.jpg,47.50,768713,"Gustavia Reflection Swim Shorts","MC2 Saint Barth",Blue,Male,"Gustavia Reflection Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Gustavia+Reflection+Swim+Shorts&wgtarget=http://www.julesb.co.uk/mc2-saint-barth-gustavia-reflection-swim-shorts-p768718,http://www.julesb.co.uk/images/mc2-saint-barth-gustavia-reflection-swim-shorts-p768718-1645091_medium.jpg,47.50,768718,"Gustavia Reflection Swim Shorts","MC2 Saint Barth",Yellow,Male,"Gustavia Reflection Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Gustavia+Brazil+Swim+Shorts&wgtarget=http://www.julesb.co.uk/mc2-saint-barth-gustavia-brazil-swim-shorts-p768738,http://www.julesb.co.uk/images/mc2-saint-barth-gustavia-brazil-swim-shorts-p768738-1622967_medium.jpg,42.75,768738,"Gustavia Brazil Swim Shorts","MC2 Saint Barth",Green,Male,"Gustavia Brazil Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Gustavia+Italy+Swim+Shorts&wgtarget=http://www.julesb.co.uk/mc2-saint-barth-gustavia-italy-swim-shorts-p768743,http://www.julesb.co.uk/images/mc2-saint-barth-gustavia-italy-swim-shorts-p768743-1645099_medium.jpg,42.75,768743,"Gustavia Italy Swim Shorts","MC2 Saint Barth",Red,Male,"Gustavia Italy Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Gustavia+UK+Swim+Shorts&wgtarget=http://www.julesb.co.uk/mc2-saint-barth-gustavia-uk-swim-shorts-p768748,http://www.julesb.co.uk/images/mc2-saint-barth-gustavia-uk-swim-shorts-p768748-1623477_medium.jpg,42.75,768748,"Gustavia UK Swim Shorts","MC2 Saint Barth",Navy,Male,"Gustavia UK Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Gustavia+Vintage+Spain+Swim+Shorts&wgtarget=http://www.julesb.co.uk/mc2-saint-barth-gustavia-vintage-spain-swim-shorts-p768753,http://www.julesb.co.uk/images/mc2-saint-barth-gustavia-vintage-spain-swim-shorts-p768753-1645095_medium.jpg,42.75,768753,"Gustavia Vintage Spain Swim Shorts","MC2 Saint Barth",Yellow,Male,"Gustavia Vintage Spain Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Gustavia+Mimetic+Swim+Shorts&wgtarget=http://www.julesb.co.uk/mc2-saint-barth-gustavia-mimetic-swim-shorts-p768763,http://www.julesb.co.uk/images/mc2-saint-barth-gustavia-mimetic-swim-shorts-p768763-1623481_medium.jpg,42.75,768763,"Gustavia Mimetic Swim Shorts","MC2 Saint Barth",Blue,Male,"Gustavia Mimetic Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Logo+Volley+Swim+Shorts&wgtarget=http://www.julesb.co.uk/hackett-logo-volley-swim-shorts-p773203,http://www.julesb.co.uk/images/hackett-logo-volley-swim-shorts-p773203-1623521_medium.jpg,37.50,773203,"Logo Volley Swim Shorts",Hackett,Navy,Male,"Logo Volley Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Volley+Swim+Shorts&wgtarget=http://www.julesb.co.uk/hackett-volley-swim-shorts-p773208,http://www.julesb.co.uk/images/hackett-volley-swim-shorts-p773208-1623529_medium.jpg,35.00,773208,"Volley Swim Shorts",Hackett,"Dark Blue > Green > Pink",Male,"Volley Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Tropic+Garden+Swim+Shorts&wgtarget=http://www.julesb.co.uk/hackett-tropic-garden-swim-shorts-p773221,http://www.julesb.co.uk/images/hackett-tropic-garden-swim-shorts-p773221-1622607_medium.jpg,35.00,773221,"Tropic Garden Swim Shorts",Hackett,"Multi Coloured",Male,"Tropic Garden Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Striped+Swim+Shorts&wgtarget=http://www.julesb.co.uk/gant-striped-swim-shorts-p775347,http://www.julesb.co.uk/images/gant-striped-swim-shorts-p775347-1622975_medium.jpg,30.00,775347,"Striped Swim Shorts",Gant,"Pink > Blue > Green",Male,"Striped Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Loop+Towel&wgtarget=http://www.julesb.co.uk/loop-towel-p785265,http://www.julesb.co.uk/images/loop-towel-p785265-1646649_medium.jpg,39.99,785265,"Loop Towel",Swims,"Yellow >  Watr",Unisex,"Loop Towel"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Bulldog+Palm+Print+Swim+Shorts&wgtarget=http://www.julesb.co.uk/bulldog-palm-print-swim-shorts-p785468,http://www.julesb.co.uk/images/bulldog-palm-print-swim-shorts-p785468-1661844_medium.jpg,98.99,785468,"Bulldog Palm Print Swim Shorts","Orlebar Brown","Red > Blue",Male,"Bulldog Palm Print Swim Shorts"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Multi+Stripe+Piping+Dressing+Gown&wgtarget=http://www.julesb.co.uk/multi-stripe-piping-dressing-gown-p662707,http://www.julesb.co.uk/images/multi-stripe-piping-dressing-gown-p662707-632882_medium.jpg,62.99,662707,"Multi Stripe Piping Dressing Gown","Paul Smith Accessories","Black > White > Navy",Male,"Multi Stripe Piping Dressing Gown"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Houndstooth+Velour+Viken+Bathrobe&wgtarget=http://www.julesb.co.uk/houndstooth-velour-viken-bathrobe-p749384,http://www.julesb.co.uk/images/houndstooth-velour-viken-bathrobe-p749384-1198057_medium.jpg,195.99,749384,"Houndstooth Velour Viken Bathrobe",Pellevavare,"Light Brown > Lilac",Unisex,"Houndstooth Velour Viken Bathrobe"
http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=4125&product=1&wglinkid=128876&productname=Striped+Velour+Havsbaden+Bathrobe&wgtarget=http://www.julesb.co.uk/striped-velour-havsbaden-bathrobe-p749411,http://www.julesb.co.uk/images/striped-velour-havsbaden-bathrobe-p749411-1014083_medium.jpg,204.99,749411,"Striped Velour Havsbaden Bathrobe",Pellevavare,"Light Grey > Dark Blue > Orange",Unisex,"Striped Velour Havsbaden Bathrobe"
