product_id,image_url,price,deeplink,product_name,brand,Colour,Full_merchant_price,description
20102,http://images.repertoirefashion.co.uk/images/products/medium/1409584687-39253600.jpg,105.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Armani+Jeans+Bag%2C+Black+Medium+Shoulder+Bag&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/accessories-c9/armani-jeans-bag-black-medium-shoulder-bag-p20102,"Armani Jeans Bag, Black Medium Shoulder Bag","Armani Jeans",Black,105.00,"Men's Armani Jeans Bag, Black Medium Shoulder Bag from iconic Italian designer, Armani Jeans. This men's bag features a branded, adjustable shoulder strap, leather strip detailing down the centre of the bag and a zip fastening. It also features the signature Armani Jeans logo and eagle printed all over bag, as well as internal pockets. Wear this bag with a classic white Sunspel t-shirt and a pair of Hugo Boss Orange jeans for a classic, casual style."
20112,http://images.repertoirefashion.co.uk/images/products/medium/1409584682-94224000.jpg,95.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Armani+Jeans+Black+Italian+Flag+Cracked+Belt+&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/accessories-c9/belts-c58/armani-jeans-black-italian-flag-cracked-belt-p20112,"Armani Jeans Black Italian Flag Cracked Belt","Armani Jeans",Black,95.00,"Men's belt from Armani Jeans. Armani Jeans Black Italian Flag Cracked Belt is an essential for your wardrobe. This black belt is made from 100% leather with a vintage-look with it's worn effect look on the buckle. The belt has a cracked effect and Italian flag belt loops featuring a metal 'AJ' logo. For an Italian style, wear with a pair of Armani Jeans, a Poggianti shirt and Oliver Sweeney shoes for a smart style."
20113,http://images.repertoirefashion.co.uk/images/products/medium/1409584684-11411500.jpg,95.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Armani+Jeans+Brown+Italian+Flag+Cracked+Belt+&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/accessories-c9/belts-c58/armani-jeans-brown-italian-flag-cracked-belt-p20113,"Armani Jeans Brown Italian Flag Cracked Belt","Armani Jeans",Brown,95.00,"Men's belt from Armani Jeans. Armani Jeans Brown Italian Flag Cracked Belt is an essential for your wardrobe. This brown belt is made from 100% leather with a vintage-look with it's worn effect look on the buckle. The belt has a cracked effect and Italian flag belt loops featuring a metal 'AJ' logo. Style it with a pair of Hugo Boss Black jeans, a Vivienne Westwood shirt and Grenson shoes for a sophisticated evening look."
20114,http://images.repertoirefashion.co.uk/images/products/medium/1409584778-21666700.jpg,89.95,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Armani+Jeans+Belt%2C+Tan+Leather+%27Made+in+Italy%27+Buckle+Belt&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/accessories-c9/armani-jeans-belt-tan-leather-made-in-italy-buckle-belt-p20114,"Armani Jeans Belt, Tan Leather 'Made in Italy' Buckle Belt","Armani Jeans",Tan,89.95,"Men's Armani Jeans Belt, Tan Leather 'Made in Italy' Buckle Belt from Italian designer, Armani. This men's belt features a worn leather effect, an Armani Jeans branded belt buckle and the signature Giorgio Armani eagle. Wear this Armani Jeans belt with a pair of Nudie Jeans for a sophisticated denim look."
20115,http://images.repertoirefashion.co.uk/images/products/medium/1409584774-38876600.jpg,95.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Armani+Jeans+Belt%2C+Brown+Leather+Repeat+Logo+One+Size+Belt&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/accessories-c9/armani-jeans-belt-brown-leather-repeat-logo-one-size-belt-p20115,"Armani Jeans Belt, Brown Leather Repeat Logo One Size Belt","Armani Jeans",Brown,95.00,"Men's Armani Jeans Belt, Brown Leather Repeat Logo One SizeBelt from Italian designer, Armani. This men's belt features a buckle fastening, Italian flag detailing on the buckles pin and the signature Armani Jeans logo stamped all over the belt. Wear this Armani Jeans belt with a pair of our Hugo Boss Jeans for a sophisticated denim style."
20118,http://images.repertoirefashion.co.uk/images/products/medium/1409584583-32767900.jpg,95.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Armani+Jeans+Black+Wallet%2C+All+Over+Logo+ID+Wallet+&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/accessories-c9/wallets-c71/armani-jeans-black-wallet-all-over-logo-id-wallet-p20118,"Armani Jeans Black Wallet, All Over Logo ID Wallet","Armani Jeans",Black,95.00,"Armani Jeans Black Wallet, All Over Logo ID Wallet from the new season collection. This leather-look wallet is a real fashion must-have. This black wallet features four card slots, a button coin holder and an ID flap over the card slots. Detailed with Armani Jeans print throughout the wallet and 'AJ Armani Jeans' embossed on the interior. This stylish faux leather wallet is a perfect gift for a man, slip it into a Belstaff jacket with a Vivienne Westwood shirt and Hugo Boss Black jeans for a sophisticated look."
20119,http://images.repertoirefashion.co.uk/images/products/medium/1409584680-84749300.jpg,85.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Armani+Jeans+Black+Billfold+Wallet+&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/accessories-c9/armani-jeans-black-billfold-wallet-p20119,"Armani Jeans Black Billfold Wallet","Armani Jeans",Black,85.00,"Men's wallet from Italian designer, Armani Jeans, Black Billfold Wallet is an essential accessory for your wardrobe. This black wallet features eight card slots and a note compartment and is detailed with signature Armani print throughout. The 'AJ and Armani Jeans' logo is embossed on the interior, which completes this stylish wallet. Treat yourself to this billfold, wear it with a Hugo Boss Black shirt, Nudie Jeans and a Barbour jacket."
20120,http://images.repertoirefashion.co.uk/images/products/medium/1409584685-29009100.jpg,79.95,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Armani+Jeans+Black+Zip+Around+Logo+Wallet&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/accessories-c9/armani-jeans-black-zip-around-logo-wallet-p20120,"Armani Jeans Black Zip Around Logo Wallet","Armani Jeans",Black,79.95,"Men's wallet from Italian designer, Armani Jeans. Armani Jeans Black Zip Around Logo Wallet is an essential accessory for your wardrobe. This black wallet features four card holder slots on the outside and zip around fastening. All-over signature Armani print with a lined interior and key ring. Wear a Hugo Boss Black jumper with Nudie Jeans and slip this wallet into a Barbour jacket to complete your style."
20153,http://images.repertoirefashion.co.uk/images/products/medium/1409584601-16206800.jpg,59.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Hugo+Boss+Black+Bow+Tie%2C+Navy+Blue+Plain+Silk+Bow+Tie+&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/accessories-c9/ties-c66/hugo-boss-black-bow-tie-navy-blue-plain-silk-bow-tie-p20153,"Hugo Boss Black Bow Tie, Navy Blue Plain Silk Bow Tie","Hugo Boss Black","Blue > Navy",59.00,"Men's bow tie from Hugo Boss Black classic range. Hugo Boss Black Bow Tie, Navy Blue Plain Silk Bow Tie is an essential piece for your wardrobe. Made from pure silk this plain navy tie features a stylishly double-layered bow, with an adjustable hook clasp for a perfect fit. Wear it with a Vivienne Westwood shirt, 7 For All Mankind jeans and Jeffery West shoes for formal event."
20154,http://images.repertoirefashion.co.uk/images/products/medium/1409584591-01479800.jpg,59.00,http://track.webgains.com/click.html?wgcampaignid=135283&wgprogramid=5763&product=1&wglinkid=191270&productname=Hugo+Boss+Black+Bow+Tie%2C+Black+Micro+Dot+Silk+Bow+Tie&wgtarget=http://www.repertoirefashion.co.uk/mens-designer-clothing-c1/accessories-c9/hugo-boss-black-bow-tie-black-micro-dot-silk-bow-tie-p20154,"Hugo Boss Black Bow Tie, Black Micro Dot Silk Bow Tie","Hugo Boss Black",Black,59.00,"Men's bow tie from Hugo Boss Black classic range. Hugo Boss Black Bow Tie, Black Micro Dot Silk Bow Tie is an essential piece for your wardrobe. Featuring a double-layered style with an all-over micro dot pattern, this pure silk bow tie is ideal for adding to any formal outfit. Wear it with a Poggianti shirt, smart trousers and Oliver Sweeney shoes for a sophisticated look."
